,Datetime,qs1,qs2,qs3,qs4,qs5,qs6,qs7,qs8,qs9,qs10,qs11,qs12,qs13,qs14,qs15,qs16,qs17,qs18,qs19,qs20,qs21,qs22,qs23,qs24,qs25,qs26,qs27,qs28,qs29,qs30,qs31,qs32,qs33,qs34,qs35,qs36,qs37,qs38,qs39,qs40,qs41,qs42,qs43,qs44,qs45,qs46,qs47,qs48,qs49,qs50
0,2018-01-04 09:16:00,D,B,D,C,A,A,A,D,D,C,A,D,D,A,D,A,A,B,C,C,C,D,A,,A,D,D,A,B,,A,C,B,B,A,B,D,B,A,A,B,D,C,B,C,C,B,A,B,A
1,2018-01-26 01:27:20,D,D,D,C,A,C,B,C,A,B,D,D,A,A,B,D,B,B,C,B,D,C,B,B,C,C,D,C,A,C,D,D,C,B,B,A,B,A,,,,,,,,B,A,C,C,A
2,2018-02-02 22:14:39,A,C,D,A,B,B,D,D,C,D,B,A,A,B,C,C,A,D,A,C,A,C,,B,,,B,C,A,A,C,B,C,D,D,,,,,,,,D,D,A,B,D,C,A,D
3,2018-02-04 01:39:47,A,D,B,A,D,A,B,D,D,B,D,A,B,D,C,A,A,C,D,B,C,B,B,B,A,A,D,C,C,C,B,C,B,A,D,C,C,C,A,A,D,A,D,C,D,B,B,B,A,A
4,2018-02-25 01:30:23,D,B,,D,A,D,B,C,B,B,C,A,A,A,D,,,C,C,A,B,D,C,D,D,A,B,C,C,A,C,,,C,A,,,,,,,,D,C,B,A,A,D,C,B
5,2018-03-11 13:43:23,D,C,A,B,,A,B,C,A,,,,A,B,A,B,C,B,A,,B,,D,D,D,C,D,C,D,D,D,A,C,,D,C,,,,,,,,C,C,,C,A,B,D
